4875
yawn closed_eye open_eye
/yawn/yawn_0000.jpg -1 -1 1
/yawn/yawn_0001.jpg -1 -1 1
/yawn/yawn_0002.jpg -1 -1 1
/yawn/yawn_0003.jpg -1 -1 1
/yawn/yawn_0004.jpg -1 -1 1
/yawn/yawn_0005.jpg -1 -1 1
/yawn/yawn_0006.jpg -1 -1 1
/yawn/yawn_0007.jpg -1 -1 1
/yawn/yawn_0008.jpg -1 -1 1
/yawn/yawn_0009.jpg -1 -1 1
/yawn/yawn_0010.jpg -1 -1 1
/yawn/yawn_0011.jpg -1 -1 1
/yawn/yawn_0012.jpg -1 -1 1
/yawn/yawn_0013.jpg -1 -1 1
/yawn/yawn_0014.jpg -1 -1 1
/yawn/yawn_0015.jpg -1 -1 1
/yawn/yawn_0016.jpg -1 -1 1
/yawn/yawn_0017.jpg -1 -1 1
/yawn/yawn_0018.jpg -1 -1 1
/yawn/yawn_0019.jpg -1 -1 1
/yawn/yawn_0020.jpg -1 -1 1
/yawn/yawn_0021.jpg -1 -1 1
/yawn/yawn_0022.jpg -1 -1 1
/yawn/yawn_0023.jpg -1 -1 1
/yawn/yawn_0024.jpg -1 -1 1
/yawn/yawn_0025.jpg -1 -1 1
/yawn/yawn_0026.jpg -1 -1 1
/yawn/yawn_0027.jpg -1 -1 1
/yawn/yawn_0028.jpg -1 -1 1
/yawn/yawn_0029.jpg -1 -1 1
/yawn/yawn_0030.jpg -1 -1 1
/yawn/yawn_0031.jpg -1 -1 1
/yawn/yawn_0032.jpg -1 -1 1
/yawn/yawn_0033.jpg -1 -1 1
/yawn/yawn_0034.jpg -1 -1 1
/yawn/yawn_0035.jpg -1 -1 1
/yawn/yawn_0036.jpg -1 -1 1
/yawn/yawn_0037.jpg -1 -1 1
/yawn/yawn_0038.jpg -1 -1 1
/yawn/yawn_0039.jpg -1 -1 1
/yawn/yawn_0040.jpg -1 -1 1
/yawn/yawn_0041.jpg -1 -1 1
/yawn/yawn_0042.jpg -1 -1 1
/yawn/yawn_0043.jpg -1 -1 1
/yawn/yawn_0044.jpg -1 -1 1
/yawn/yawn_0045.jpg -1 -1 1
/yawn/yawn_0046.jpg -1 -1 1
/yawn/yawn_0047.jpg -1 -1 1
/yawn/yawn_0048.jpg -1 -1 1
/yawn/yawn_0049.jpg -1 -1 1
/yawn/yawn_0050.jpg -1 -1 1
/yawn/yawn_0051.jpg -1 -1 1
/yawn/yawn_0052.jpg -1 -1 1
/yawn/yawn_0053.jpg -1 -1 1
/yawn/yawn_0054.jpg -1 -1 1
/yawn/yawn_0055.jpg -1 -1 1
/yawn/yawn_0056.jpg -1 -1 1
/yawn/yawn_0057.jpg -1 -1 1
/yawn/yawn_0058.jpg -1 -1 1
/yawn/yawn_0059.jpg -1 -1 1
/yawn/yawn_0060.jpg -1 -1 1
/yawn/yawn_0061.jpg -1 -1 1
/yawn/yawn_0062.jpg -1 -1 1
/yawn/yawn_0063.jpg -1 -1 1
/yawn/yawn_0064.jpg -1 -1 1
/yawn/yawn_0065.jpg -1 -1 1
/yawn/yawn_0066.jpg -1 -1 1
/yawn/yawn_0067.jpg -1 -1 1
/yawn/yawn_0068.jpg -1 -1 1
/yawn/yawn_0069.jpg -1 -1 1
